,User,Month,freq_month
0,user28486,2023-03,17
1,user28487,2023-03,31
2,user28490,2023-03,49
3,user28498,2023-03,34
4,user28500,2023-03,21
5,user28518,2023-03,49
6,user28519,2023-03,53
7,user28536,2023-03,8
8,user28537,2023-03,9
9,user28550,2022-02,23
10,user28556,2022-02,25
11,user28558,2022-02,28
12,user28582,2022-02,8
13,user28585,2022-02,20
14,user28586,2022-02,8
15,user28619,2022-02,19
16,user28659,2022-02,8
17,user28667,2022-02,19
18,user28687,2022-02,9
19,user28697,2022-02,21
20,user28713,2022-02,18
21,user28717,2022-02,8
22,user28719,2022-02,8
23,user28726,2022-02,8
24,user28731,2022-02,8
25,user28773,2020-08,9
26,user28780,2020-08,8
27,user28803,2020-08,9
28,user28847,2020-08,8
29,user28855,2020-08,8
30,user28856,2020-08,8
31,user28858,2020-08,9
32,user28917,2020-08,8
33,user29001,2020-08,9
34,user29179,2023-03,18
35,user29182,2023-03,15
36,user29187,2023-03,15
37,user29192,2023-03,24
38,user29193,2023-03,8
39,user29208,2023-03,15
40,user29212,2023-03,18
41,user29219,2023-03,8
42,user29230,2023-03,16
43,user29241,2023-03,20
44,user29247,2023-03,18
45,user29260,2023-03,8
46,user29263,2023-03,8
47,user29266,2023-03,20
48,user29280,2023-03,9
49,user29285,2023-03,22
50,user29299,2023-03,9
51,user29318,2023-03,8
52,user29342,2023-03,8
53,user29439,2022-06,24
